sample_name,type
vDCR_beta_HV04v1b,train
vDCR_beta_P008v1b,train
vDCR_beta_P004v1b,train
vDCR_beta_HV10b,train
vDCR_beta_P017v1b,train
vDCR_beta_P016v1b,train
vDCR_beta_P021v1b,train
vDCR_beta_P029v1b,train
vDCR_beta_P003v1b,train
vDCR_beta_HV13b,train
vDCR_beta_HV01v1b,train
vDCR_beta_HV11b,train
vDCR_beta_P027v1b,train
vDCR_beta_P006v1b,train
vDCR_beta_HV07b,train
vDCR_beta_HV08b,train
vDCR_beta_P022v1b,train
vDCR_beta_P012v1b,train
vDCR_beta_HV03v1b,train
vDCR_beta_P005v1b,train
vDCR_beta_HV02v1b,train
vDCR_beta_P015v1b,test
vDCR_beta_P013v1b,test
vDCR_beta_P002v1b,test
vDCR_beta_P014v1b,test
vDCR_beta_HV09b,test
